City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Tateyama,JP,2022-06-07 12:32:00,34.9833,139.8667,63.1,86,100,13.4
139,Lucapa,AO,2022-06-07 12:33:01,-8.4192,20.7447,85.42,23,100,5.53
140,Mangan,IN,2022-06-07 12:33:01,27.5167,88.5333,76.44,97,88,0.38
141,Vallentuna,SE,2022-06-07 12:33:02,59.5344,18.0776,68.04,54,0,10.36
142,Yellowknife,CA,2022-06-07 12:33:02,62.456,-114.3525,57.72,62,20,4.61
143,Baykit,RU,2022-06-07 12:32:23,61.67,96.37,44.85,91,100,8.52
144,Khandyga,RU,2022-06-07 12:33:03,62.6667,135.6,61.72,44,2,6.98
145,Arlit,NE,2022-06-07 12:33:03,18.7369,7.3853,105.12,8,86,10.07
146,Husavik,IS,2022-06-07 12:29:29,66.0449,-17.3389,49.03,78,100,6.22
147,Bethel,US,2022-06-07 12:33:04,41.3712,-73.414,69.53,64,0,4.61
148,Sisimiut,GL,2022-06-07 12:31:17,66.9395,-53.6735,41.23,53,8,11.18
149,Concordia,AR,2022-06-07 12:33:04,-31.393,-58.0209,50.07,100,100,4.61
150,New Richmond,US,2022-06-07 12:33:04,45.123,-92.5366,59.11,67,0,0.0
151,Grindavik,IS,2022-06-07 12:33:05,63.8424,-22.4338,55.35,76,75,23.02
152,Chokurdakh,RU,2022-06-07 12:33:05,70.6333,147.9167,37.06,64,3,11.79
153,Turbat,PK,2022-06-07 12:33:06,26.0023,63.044,100.04,27,0,22.01
154,Port Elizabeth,ZA,2022-06-07 12:33:06,-33.918,25.5701,77.29,41,20,5.75
155,Thompson,CA,2022-06-07 12:33:06,55.7435,-97.8558,46.56,66,20,4.61
156,Acucena,BR,2022-06-07 12:33:07,-19.0731,-42.5464,57.72,49,100,0.27
157,Gat,IL,2022-06-07 12:33:07,31.61,34.7642,88.39,38,0,12.86
158,Nkoteng,CM,2022-06-07 12:33:08,4.5167,12.0333,86.56,51,45,4.36
159,Labuhan,ID,2022-06-07 12:33:08,-6.8844,112.2051,81.19,84,100,8.25
160,Manggar,ID,2022-06-07 12:33:08,-2.8833,108.2667,81.68,76,19,3.83
161,New Norfolk,AU,2022-06-07 12:33:09,-42.7826,147.0587,40.71,86,100,4.0
162,Qingquan,CN,2022-06-07 12:33:09,30.4511,115.2559,76.6,71,0,2.89
163,Araouane,ML,2022-06-07 12:33:09,18.9048,-3.5265,104.92,17,0,11.43
164,Dzhebariki-Khaya,RU,2022-06-07 12:33:10,62.2167,135.8,62.47,46,19,5.28
165,Narsaq,GL,2022-06-07 12:28:13,60.9167,-46.05,52.02,71,95,4.54
166,Ixtapa,MX,2022-06-07 12:33:10,20.7,-105.2,76.23,94,100,3.44
167,Dryden,CA,2022-06-07 12:33:11,49.7833,-92.7503,50.29,93,100,2.3
168,Padang,ID,2022-06-07 12:33:11,-0.9492,100.3543,78.85,86,95,0.87
169,Praia,CV,2022-06-07 12:33:11,14.9215,-23.5087,82.94,57,20,16.11
170,Caxito,AO,2022-06-07 12:33:12,-8.5785,13.6643,93.72,24,99,4.68
171,Ayan,RU,2022-06-07 12:33:12,56.45,138.1667,40.98,88,100,7.14
172,Mahebourg,MU,2022-06-07 12:33:13,-20.4081,57.7,76.24,78,40,9.22
173,Sitka,US,2022-06-07 12:33:13,57.0531,-135.33,53.49,76,100,3.44
174,Stonewall,CA,2022-06-07 12:33:14,50.1344,-97.3268,55.08,66,0,7.52
175,Jadu,LY,2022-06-07 12:33:14,31.953,12.0261,100.8,9,7,12.48
176,Puerto Ayora,EC,2022-06-07 12:29:23,-0.7393,-90.3518,69.55,94,100,6.49
177,Trelew,AR,2022-06-07 12:33:15,-43.249,-65.3051,50.83,58,100,21.27
178,Progreso,MX,2022-06-07 12:28:45,21.2833,-89.6667,78.12,92,92,8.05
179,Pacifica,US,2022-06-07 12:28:49,37.6138,-122.4869,56.14,92,40,11.5
180,Savannakhet,LA,2022-06-07 12:33:16,16.566,104.751,78.6,80,100,5.26
181,Atbasar,KZ,2022-06-07 12:33:17,51.8,68.3333,85.26,25,100,13.11
182,Am Timan,TD,2022-06-07 12:33:17,11.0297,20.2827,104.18,13,100,4.03
183,Tuktoyaktuk,CA,2022-06-07 12:33:18,69.4541,-133.0374,31.08,82,20,9.24
184,Hobart,AU,2022-06-07 12:34:18,-42.8794,147.3294,41.05,89,75,20.71
185,Socorro,US,2022-06-07 12:34:19,31.6546,-106.3033,81.61,22,20,9.22
186,Sur,OM,2022-06-07 12:34:19,22.5667,59.5289,94.62,43,0,6.02
187,Nakhabino,RU,2022-06-07 12:34:20,55.8514,37.1814,68.29,30,0,15.66
