City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Vaini,TO,-21.2,-175.2,78.96,78,75,5.75,broken clouds
128,Saint-Pierre,RE,-21.3393,55.4781,68.92,77,0,4.61,clear sky
129,Nhulunbuy,AU,-12.2333,136.7667,74.01,73,40,10.36,scattered clouds
130,Chuy,UY,-33.6971,-53.4616,44.47,62,26,12.64,scattered clouds
131,Sabha,LY,27.0377,14.4283,91.53,12,3,11.74,clear sky
132,Azangaro,PE,-14.9167,-70.2167,48.24,22,9,8.08,clear sky
133,Mokhsogollokh,RU,61.4681,128.9203,61.02,53,27,7.2,scattered clouds
134,Farau,RO,46.3333,24.0167,62.78,80,78,3.11,broken clouds
135,Fairbanks,US,64.8378,-147.7164,57.09,50,75,5.75,broken clouds
136,Norfolk,US,42.1668,-71.2495,79.02,43,0,14.97,clear sky
137,Ilam,NP,26.9167,87.9167,67.5,92,100,3.6,overcast clouds
138,Ribeira Grande,PT,38.5167,-28.7,64.8,100,75,3.44,broken clouds
139,Hamilton,US,39.1834,-84.5333,70.74,80,100,8.05,light rain
140,Liberty,US,31.8335,-81.5004,91.65,49,40,8.05,scattered clouds
141,Esperance,AU,-33.8667,121.9,55.45,59,94,18.19,overcast clouds
142,Augusto Correa,BR,-1.0217,-46.635,75.76,89,56,3.85,broken clouds
143,Abnub,EG,27.2696,31.1511,91.49,16,0,5.61,clear sky
144,Dicabisagan,PH,17.0818,122.4157,79.54,82,98,5.48,overcast clouds
145,Busselton,AU,-33.65,115.3333,63.91,85,97,16.84,light rain
146,San Patricio,US,28.017,-97.5169,101.12,48,4,21.09,clear sky
147,Vila Do Maio,CV,15.1333,-23.2167,75.99,89,0,14.92,clear sky
148,Severo-Kurilsk,RU,50.6789,156.125,44.51,91,99,10.07,overcast clouds
149,Valparaiso,CL,-33.0393,-71.6273,62.83,63,0,6.91,clear sky
150,Thompson,CA,55.7435,-97.8558,73.56,27,20,9.22,few clouds
151,Biak,ID,-0.9131,122.8766,76.21,80,83,4.47,broken clouds
152,Boyuibe,BO,-20.4167,-63.2833,59.02,71,100,6.38,overcast clouds
153,Georgetown,MY,5.4112,100.3354,78.73,100,20,2.3,few clouds
154,Meulaboh,ID,4.1363,96.1285,74.43,90,62,5.99,broken clouds
155,Korla,CN,41.7597,86.1469,78.82,20,80,18.81,broken clouds
156,Carutapera,BR,-1.195,-46.02,76.15,92,85,5.97,overcast clouds
157,Castro,BR,-24.7911,-50.0119,53.94,96,99,4.14,overcast clouds
158,Parana,AR,-31.732,-60.5238,51.57,63,27,5.44,scattered clouds
159,Nanortalik,GL,60.1432,-45.2371,39.78,83,100,9.95,overcast clouds
160,Sorland,NO,67.667,12.6934,46.26,77,23,16.93,few clouds
161,Rio Viejo,CO,8.5874,-73.839,83.57,79,71,4.12,broken clouds
162,Iquique,CL,-20.2208,-70.1431,60.84,79,16,5.79,few clouds
163,Somerville,US,42.3876,-71.0995,79.38,39,40,19.57,scattered clouds
164,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,3.44,light rain
165,Sarankhola,BD,22.3082,89.7897,83.07,89,100,9.17,overcast clouds
166,Vila Velha,BR,-20.3297,-40.2925,76.95,76,0,11.5,clear sky
167,Poya,NC,-21.35,165.15,73.69,85,95,3.09,overcast clouds
168,San Cristobal,VE,7.7669,-72.225,78.98,57,30,5.95,scattered clouds
169,Gwembe,ZM,-16.4975,27.6069,51.12,85,0,2.77,clear sky
170,Anloga,GH,5.7947,0.8973,79.75,82,98,14.63,light rain
171,Kidal,ML,18.4411,1.4078,93.47,9,1,7.2,clear sky
172,Sept-Iles,CA,50.2001,-66.3821,55.4,98,75,14.97,moderate rain
173,Klamath Falls,US,42.2249,-121.7817,80.87,40,0,20.71,clear sky
174,San Quintin,MX,30.4833,-115.95,73.04,60,1,8.08,clear sky
175,Hofn,IS,64.2539,-15.2082,48.15,80,100,16.35,overcast clouds
176,San Carlos,VE,9.6612,-68.5827,85.51,55,85,1.1,overcast clouds
177,Kahului,US,20.8947,-156.47,86.02,65,20,19.57,few clouds
178,Krasnyy Chikoy,RU,50.3643,108.7512,48.58,97,100,5.5,overcast clouds
179,Puerto Escondido,MX,15.85,-97.0667,83.23,65,100,20.71,overcast clouds
180,Lazaro Cardenas,MX,17.9583,-102.2,87.21,61,23,9.89,few clouds
181,The Valley,AI,18.217,-63.0578,85.86,74,40,11.5,scattered clouds
182,Vestmannaeyjar,IS,63.4427,-20.2734,50.92,86,96,7.05,overcast clouds
183,Saravan,AM,39.7196,45.6483,53.65,77,85,4.25,overcast clouds
184,Souris,CA,49.6172,-100.2612,71.46,93,100,5.64,light rain
185,Nanakuli,US,21.3906,-158.1547,84.15,50,0,12.66,clear sky
186,Udachnyy,RU,66.4167,112.4,43.45,75,56,14.36,broken clouds
187,Moerai,PF,-22.4333,-151.3333,74.25,61,100,15.7,overcast clouds
188,Ashington,GB,50.9331,-0.3909,59.43,84,0,8.01,clear sky
189,Quelimane,MZ,-17.8786,36.8883,67.95,88,20,8.05,few clouds
190,Longyearbyen,SJ,78.2186,15.6401,37.24,81,100,4.61,light intensity drizzle
191,Uyuni,BO,-20.4597,-66.825,38.41,18,15,5.59,few clouds
192,Sur,OM,22.5667,59.5289,90.86,51,0,14.56,clear sky
193,Cidreira,BR,-30.1811,-50.2056,51.76,57,40,18.12,scattered clouds
194,Caravelas,BR,-17.7125,-39.2481,71.73,85,49,6.15,scattered clouds
195,Shimoda,JP,34.6667,138.95,66.11,84,100,4.45,moderate rain
196,Shambu,ET,9.5667,37.1,53.56,86,100,0.43,light rain
197,Mandalgovi,MN,45.7625,106.2708,43.02,86,100,33.24,overcast clouds
198,Mitsamiouli,KM,-11.3847,43.2844,77.68,72,24,11.36,few clouds
199,Flin Flon,CA,54.7682,-101.865,69.64,32,100,14.97,overcast clouds
200,Issoire,FR,45.55,3.25,63.66,85,38,2.37,scattered clouds
201,Oktyabrskiy,RU,54.4815,53.471,56.17,95,56,6.42,broken clouds
202,Opuwo,NA,-18.0607,13.84,59.05,43,0,7.67,clear sky
203,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.87,83,46,2.15,scattered clouds
204,Victor Harbor,AU,-35.5667,138.6167,50.68,81,54,8.05,broken clouds
205,Taoudenni,ML,22.6783,-3.9836,102.09,8,1,6.58,clear sky
206,Chincha Alta,PE,-13.4099,-76.1323,64.99,76,5,4.97,clear sky
207,Tura,IN,25.5198,90.2201,72.12,97,100,6.2,overcast clouds
208,Lugovoy,KZ,42.9472,72.7644,68.61,43,76,5.91,broken clouds
209,Roma,US,43.2128,-75.4557,71.82,49,0,14.97,clear sky
210,Redding,US,40.5865,-122.3917,98.62,25,0,6.91,clear sky
211,Vuktyl,RU,63.8567,57.3094,57.0,73,79,4.16,broken clouds
212,Koslan,RU,63.4564,48.8989,44.56,84,99,13.71,overcast clouds
213,Faanui,PF,-16.4833,-151.75,80.2,75,12,16.42,few clouds
214,Norman Wells,CA,65.282,-126.8329,59.04,55,20,16.11,few clouds
215,Dabakala,CI,8.3667,-4.4333,76.06,87,85,6.87,light rain
216,Namatanai,PG,-3.6667,152.4333,80.94,71,5,7.7,clear sky
217,Batsfjord,NO,70.6345,29.7185,42.73,75,75,10.36,broken clouds
218,Pangnirtung,CA,66.1451,-65.7125,39.2,81,75,11.5,broken clouds
219,Bambanglipuro,ID,-7.95,110.2833,73.63,96,100,1.48,overcast clouds
220,Padang,ID,-0.9492,100.3543,75.45,91,96,2.06,overcast clouds
221,East London,ZA,-33.0153,27.9116,61.95,56,0,8.37,clear sky
222,Ndele,CF,8.4109,20.6473,72.07,82,70,3.18,broken clouds
223,Pevek,RU,69.7008,170.3133,42.76,63,65,4.52,broken clouds
224,Iquitos,PE,-3.7481,-73.2472,77.04,88,75,3.44,light rain
225,Oulainen,FI,64.2667,24.8,47.28,65,0,3.65,clear sky
226,Caxito,AO,-8.5785,13.6643,65.91,91,2,2.77,clear sky
227,Bonthe,SL,7.5264,-12.505,79.34,84,99,10.2,overcast clouds
228,Tiznit,MA,29.5833,-9.5,68.77,76,5,2.08,clear sky
229,Agadez,NE,19.75,10.25,90.63,12,2,5.93,clear sky
230,Saint-Philippe,RE,-21.3585,55.7679,65.79,81,56,10.45,light rain
231,Tuatapere,NZ,-46.1333,167.6833,36.95,98,97,10.07,overcast clouds
232,Broome,US,42.2506,-75.833,74.61,48,75,10.36,broken clouds
233,Airai,TL,-8.9266,125.4092,55.87,94,75,3.67,broken clouds
234,Kodiak,US,57.79,-152.4072,60.31,51,75,8.05,broken clouds
235,Dwarka,IN,22.2394,68.9678,82.69,76,11,15.43,few clouds
